Gesundheitsleistungen_Güter (HC);HF.1 Finanzierungssystem Staat und verpflichtende Beitragssysteme der Gesundheitsfinanzierung;HF.1.1 Finanzierungssystem Staat;HF.1.2 Verpflichtende Beitragssysteme: Krankenversicherungssysteme;HF.1.2.1 Finanzierungssystem Sozialversicherungsträger;HF.1.2.2 Verpflichtende private Krankenversicherungssysteme;HF.2 Freiwillige Systeme der Gesundheitsfinanzierung;HF.2.1 Freiwillige Krankenversicherungssysteme;HF.2.2 Finanzierungssystem Private Organisationen ohne Erwerbszweck;HF.2.3 Finanzierungssystem Unternehmen;HF.3 Selbstzahlungen der privaten Haushalte;HF.3.1 Selbstzahlungen ohne Selbstbehalte;HF.3.2 Selbstbehalte (Kostenteilung mit Dritten);HF.4 Finanzierungssystem übrige Welt;Alle HF - Alle Finanzierungssysteme
HC.1.3.9 Sonstige ambulante kurative Gesundheitsversorgung;136,966;43,504;93,462;93,462;0,000;4,606;0,000;4,606;0,000;188,707;187,011;1,696;0,000;330,279
HC.2.3 Ambulante rehabilitative Gesundheitsversorgung;316,176;103,749;212,428;212,428;0,000;36,305;0,706;35,599;0,000;441,204;441,204;0,000;0,000;793,686
HC.1.4+HC.2.4 Häusliche kurative und rehabilitative Gesundheitsversorgung;21,734;2,646;19,088;19,088;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;21,734
HC.1.4 Häusliche kurative Gesundheitsversorgung;21,734;2,646;19,088;19,088;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;21,734
HC.3.1 Stationäre Langzeitpflege;1640,972;1640,972;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1240,768;1240,768;0,000;0,000;2881,740
HC.3.2 Tagesfälle der Langzeitpflege;44,170;44,170;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;44,170
HC.3.4 Häusliche Langzeitpflege;2334,074;2323,419;10,655;10,655;0,000;95,505;0,000;95,505;0,000;181,358;181,358;0,000;0,000;2610,938
HC.4.1 Klinische Labore;174,189;0,102;174,088;174,088;0,000;6,118;6,118;0,000;0,000;38,610;38,610;0,000;0,000;218,917
HC.4.2 Bildgebende Diagnoseverfahren;202,445;0,098;202,347;202,347;0,000;7,112;7,112;0,000;0,000;44,877;44,877;0,000;0,000;254,434
HC.4.3 Patiententransporte;369,536;133,852;235,683;235,683;0,000;238,393;0,000;238,393;0,000;36,482;24,894;11,588;0,000;644,410
HC.5.1 Arzneimittel und sonstige medizinische Verbrauchsgüter;3005,698;0,000;3005,698;3005,698;0,000;31,458;31,458;0,000;0,000;1392,402;998,192;394,210;0,000;4429,558
HC.5.1.1 Verschriebene Arzneimittel;3005,698;0,000;3005,698;3005,698;0,000;8,906;8,906;0,000;0,000;394,210;0,000;394,210;0,000;3408,814
HC.5.1.2 Rezeptfreie Arzneimittel;0,000;0,000;0,000;0,000;0,000;20,903;20,903;0,000;0,000;925,193;925,193;0,000;0,000;946,095
HC.5.1.3 Sonstige medizinische Verbrauchsgüter;0,000;0,000;0,000;0,000;0,000;1,649;1,649;0,000;0,000;72,999;72,999;0,000;0,000;74,648
HC.5.2 Therapeutische Hilfsmittel und andere medizinische Güter;697,324;0,000;697,324;697,324;0,000;124,334;124,334;0,000;0,000;984,952;977,633;7,319;0,000;1806,609
HC.7.1 Verwaltung der Gesundheitsversorgung;67,704;67,704;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;67,704
HC.7.2 Verwaltung der Gesundheitssystemfinanzierung;759,235;33,431;725,804;725,804;0,000;683,898;683,898;0,000;0,000;0,000;0,000;0,000;0,000;1443,133
Alle HC - Alle Gesundheitsleistungen und -güter;27380,821;11074,611;16306,210;16306,210;0,000;2515,704;1890,661;546,341;78,702;7123,988;6399,328;724,659;0,000;37020,512
HC.1+HC.2 Leistungen der kurativen und rehabilitativen Gesundheitsversorgung;18248,736;6729,275;11519,461;11519,461;0,000;1289,082;1078,771;210,311;0,000;3107,655;2798,220;309,435;0,000;22645,473
HC.3 Langzeitpflege;4070,850;4060,589;10,261;10,261;0,000;110,767;0,000;110,767;0,000;1518,680;1518,680;0,000;0,000;5700,296
HC.4 Hilfsleistungen der Gesundheitsversorgung;762,984;134,145;628,840;628,840;0,000;256,702;14,070;242,632;0,000;120,847;108,270;12,576;0,000;1140,533
HC.5 Medizinische Güter;3868,601;0,000;3868,601;3868,601;0,000;170,961;170,961;0,000;0,000;2481,167;2080,822;400,345;0,000;6520,729
HC.6 Prävention;598,904;406,499;192,405;192,405;0,000;105,000;3,445;16,899;84,656;117,621;117,621;0,000;0,000;821,525
HC.7 Verwaltung der Gesundheitsversorgung und Gesundheitssystemfinanzierung;839,461;105,487;733,975;733,975;0,000;686,611;686,611;0,000;0,000;0,000;0,000;0,000;0,000;1526,072
Alle HC - Alle Gesundheitsleistungen und -güter;28389,536;11435,994;16953,542;16953,542;0,000;2619,123;1953,858;580,609;84,656;7345,969;6623,612;722,357;0,000;38354,628
HC.1 Leistungen der kurativen Gesundheitsversorgung;16650,207;6547,147;10103,060;10103,060;0,000;1054,033;1040,250;13,783;0,000;2387,740;2159,800;227,940;0,000;20091,981
HC.2 Leistungen der rehabilitativen Gesundheitsversorgung;1598,529;182,128;1416,401;1416,401;0,000;235,049;38,522;196,527;0,000;719,915;638,419;81,495;0,000;2553,492
HC.1.1+HC.2.1 Stationäre kurative und rehabilitative Gesundheitsversorgung;10897,149;4991,573;5905,576;5905,576;0,000;1089,764;919,519;170,245;0,000;466,433;384,938;81,495;0,000;12453,346
HC.1.1 Stationäre kurative Gesundheitsversorgung;9633,691;4917,312;4716,379;4716,379;0,000;889,786;881,765;8,021;0,000;203,392;203,392;0,000;0,000;10726,869
HC.2.1 Stationäre rehabilitative Gesundheitsversorgung;1263,457;74,261;1189,196;1189,196;0,000;199,978;37,754;162,224;0,000;263,042;181,546;81,495;0,000;1726,477
HC.1.2+HC.2.2 Tagesfälle der kurativen und rehabilitativen Gesundheitsversorgung;413,248;226,324;186,924;186,924;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;414,248
HC.1.2 Tagesfälle der kurativen Gesundheitsversorgung;413,248;226,324;186,924;186,924;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;414,248
HC.1.3+HC.2.3 Ambulante kurative und rehabilitative Gesundheitsversorgung;6914,567;1507,816;5406,751;5406,751;0,000;199,318;159,252;40,066;0,000;2640,221;2412,282;227,940;0,000;9754,107
HC.1.3 Ambulante kurative Gesundheitsversorgung;6579,496;1399,949;5179,547;5179,547;0,000;164,247;158,485;5,762;0,000;2183,348;1955,409;227,940;0,000;8927,091
HC.1.3.1 Allgemeine ambulante Gesundheitsversorgung;1401,682;126,225;1275,458;1275,458;0,000;54,229;54,229;0,000;0,000;304,079;256,020;48,059;0,000;1759,990
HC.1.3.2 Ambulante zahnärztliche Gesundheitsversorgung;997,171;55,571;941,600;941,600;0,000;37,546;37,546;0,000;0,000;1169,325;1058,739;110,586;0,000;2204,043
HC.1.3.3 Spezialisierte ambulante Gesundheitsversorgung;4033,425;1172,469;2860,956;2860,956;0,000;66,710;66,710;0,000;0,000;517,920;450,185;67,736;0,000;4618,055
HC.1.3.9 Sonstige ambulante kurative Gesundheitsversorgung;147,217;45,684;101,533;101,533;0,000;5,762;0,000;5,762;0,000;192,024;190,465;1,559;0,000;345,004
HC.2.3 Ambulante rehabilitative Gesundheitsversorgung;335,071;107,867;227,204;227,204;0,000;35,071;0,768;34,303;0,000;456,873;456,873;0,000;0,000;827,015
HC.1.4+HC.2.4 Häusliche kurative und rehabilitative Gesundheitsversorgung;23,773;3,563;20,210;20,210;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;23,773
HC.1.4 Häusliche kurative Gesundheitsversorgung;23,773;3,563;20,210;20,210;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;23,773
HC.3.1 Stationäre Langzeitpflege;1643,599;1643,599;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1331,844;1331,844;0,000;0,000;2975,443
HC.3.2 Tagesfälle der Langzeitpflege;44,566;44,566;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;44,566
HC.3.4 Häusliche Langzeitpflege;2382,685;2372,424;10,261;10,261;0,000;110,767;0,000;110,767;0,000;186,835;186,835;0,000;0,000;2680,287
HC.4.1 Klinische Labore;181,691;0,092;181,599;181,599;0,000;6,643;6,643;0,000;0,000;39,031;39,031;0,000;0,000;227,365
HC.4.2 Bildgebende Diagnoseverfahren;203,118;0,092;203,026;203,026;0,000;7,427;7,427;0,000;0,000;43,636;43,636;0,000;0,000;254,182
HC.4.3 Patiententransporte;378,175;133,961;244,214;244,214;0,000;242,632;0,000;242,632;0,000;38,179;25,603;12,576;0,000;658,986
HC.5.1 Arzneimittel und sonstige medizinische Verbrauchsgüter;3161,127;0,000;3161,127;3161,127;0,000;35,078;35,078;0,000;0,000;1439,074;1045,391;393,683;0,000;4635,280
HC.5.1.1 Verschriebene Arzneimittel;3161,127;0,000;3161,127;3161,127;0,000;9,596;9,596;0,000;0,000;393,683;0,000;393,683;0,000;3564,407
HC.5.1.2 Rezeptfreie Arzneimittel;0,000;0,000;0,000;0,000;0,000;23,525;23,525;0,000;0,000;965,114;965,114;0,000;0,000;988,639
HC.5.1.3 Sonstige medizinische Verbrauchsgüter;0,000;0,000;0,000;0,000;0,000;1,957;1,957;0,000;0,000;80,277;80,277;0,000;0,000;82,234
HC.5.2 Therapeutische Hilfsmittel und andere medizinische Güter;707,473;0,000;707,473;707,473;0,000;135,883;135,883;0,000;0,000;1042,093;1035,430;6,662;0,000;1885,449
HC.7.1 Verwaltung der Gesundheitsversorgung;71,260;71,260;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;71,260
HC.7.2 Verwaltung der Gesundheitssystemfinanzierung;768,202;34,227;733,975;733,975;0,000;686,611;686,611;0,000;0,000;0,000;0,000;0,000;0,000;1454,813
Alle HC - Alle Gesundheitsleistungen und -güter;28389,536;11435,994;16953,542;16953,542;0,000;2619,123;1953,858;580,609;84,656;7345,969;6623,612;722,357;0,000;38354,628
HC.1+HC.2 Leistungen der kurativen und rehabilitativen Gesundheitsversorgung;19131,239;7063,440;12067,798;12067,798;0,000;1344,418;1115,462;228,955;0,000;3151,521;2858,495;293,026;0,000;23627,177
HC.3 Langzeitpflege;4354,603;4344,670;9,933;9,933;0,000;118,072;0,000;118,072;0,000;1408,207;1408,207;0,000;0,000;5880,882
HC.4 Hilfsleistungen der Gesundheitsversorgung;802,288;141,332;660,956;660,956;0,000;277,986;17,003;260,984;0,000;120,717;112,642;8,075;0,000;1200,991
HC.5 Medizinische Güter;4003,697;0,000;4003,697;4003,697;0,000;184,013;184,013;0,000;0,000;2548,405;2140,172;408,233;0,000;6736,114
HC.6 Prävention;611,969;416,917;195,053;195,053;0,000;109,021;3,832;19,516;85,673;117,606;117,606;0,000;0,000;838,596
HC.7 Verwaltung der Gesundheitsversorgung und Gesundheitssystemfinanzierung;867,738;103,768;763,970;763,970;0,000;719,961;719,961;0,000;0,000;0,000;0,000;0,000;0,000;1587,699
Alle HC - Alle Gesundheitsleistungen und -güter;29771,535;12070,128;17701,407;17701,407;0,000;2753,471;2040,271;627,527;85,673;7346,455;6637,121;709,334;0,000;39871,460
HC.1 Leistungen der kurativen Gesundheitsversorgung;17499,628;6878,004;10621,623;10621,623;0,000;1090,010;1076,257;13,752;0,000;2430,026;2221,222;208,804;0,000;21019,663
HC.2 Leistungen der rehabilitativen Gesundheitsversorgung;1631,611;185,436;1446,175;1446,175;0,000;254,408;39,205;215,203;0,000;721,495;637,273;84,222;0,000;2607,514
HC.1.1+HC.2.1 Stationäre kurative und rehabilitative Gesundheitsversorgung;11331,837;5234,450;6097,387;6097,387;0,000;1107,688;925,314;182,374;0,000;519,833;435,611;84,222;0,000;12959,359
HC.1.1 Stationäre kurative Gesundheitsversorgung;10040,369;5160,447;4879,922;4879,922;0,000;895,617;887,065;8,552;0,000;244,356;244,356;0,000;0,000;11180,342
HC.2.1 Stationäre rehabilitative Gesundheitsversorgung;1291,468;74,002;1217,466;1217,466;0,000;212,071;38,249;173,822;0,000;275,477;191,255;84,222;0,000;1779,016
HC.1.2+HC.2.2 Tagesfälle der kurativen und rehabilitativen Gesundheitsversorgung;278,026;152,254;125,771;125,771;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;279,026
HC.1.2 Tagesfälle der kurativen Gesundheitsversorgung;278,026;152,254;125,771;125,771;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;279,026
HC.1.3+HC.2.3 Ambulante kurative und rehabilitative Gesundheitsversorgung;7496,009;1675,613;5820,395;5820,395;0,000;236,729;190,148;46,581;0,000;2630,688;2421,884;208,804;0,000;10363,426
HC.1.3 Ambulante kurative Gesundheitsversorgung;7155,866;1564,180;5591,686;5591,686;0,000;194,392;189,192;5,200;0,000;2184,670;1975,866;208,804;0,000;9534,928
HC.1.3.1 Allgemeine ambulante Gesundheitsversorgung;1489,713;131,085;1358,628;1358,628;0,000;66,236;66,236;0,000;0,000;296,812;247,230;49,582;0,000;1852,761
HC.1.3.2 Ambulante zahnärztliche Gesundheitsversorgung;1078,693;58,624;1020,069;1020,069;0,000;40,344;40,344;0,000;0,000;1177,047;1088,503;88,544;0,000;2296,084
HC.1.3.3 Spezialisierte ambulante Gesundheitsversorgung;4428,496;1324,933;3103,563;3103,563;0,000;82,612;82,612;0,000;0,000;511,434;442,289;69,145;0,000;5022,542
HC.1.3.9 Sonstige ambulante kurative Gesundheitsversorgung;158,964;49,538;109,426;109,426;0,000;5,200;0,000;5,200;0,000;199,376;197,844;1,532;0,000;363,540
HC.2.3 Ambulante rehabilitative Gesundheitsversorgung;340,143;111,434;228,709;228,709;0,000;42,337;0,956;41,381;0,000;446,018;446,018;0,000;0,000;828,498
HC.1.4+HC.2.4 Häusliche kurative und rehabilitative Gesundheitsversorgung;25,367;1,123;24,244;24,244;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;25,367
HC.1.4 Häusliche kurative Gesundheitsversorgung;25,367;1,123;24,244;24,244;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;25,367
HC.3.1 Stationäre Langzeitpflege;1950,637;1950,637;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1198,509;1198,509;0,000;0,000;3149,146
HC.3.2 Tagesfälle der Langzeitpflege;48,598;48,598;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;48,598
HC.3.4 Häusliche Langzeitpflege;2355,369;2345,436;9,933;9,933;0,000;118,072;0,000;118,072;0,000;209,697;209,697;0,000;0,000;2683,138
HC.4.1 Klinische Labore;189,207;0,089;189,117;189,117;0,000;8,019;8,019;0,000;0,000;42,158;42,158;0,000;0,000;239,383
HC.4.2 Bildgebende Diagnoseverfahren;211,952;0,079;211,873;211,873;0,000;8,984;8,984;0,000;0,000;37,630;37,630;0,000;0,000;258,566
HC.4.3 Patiententransporte;401,129;141,163;259,966;259,966;0,000;260,984;0,000;260,984;0,000;40,929;32,854;8,075;0,000;703,042
HC.5.1 Arzneimittel und sonstige medizinische Verbrauchsgüter;3222,756;0,000;3222,756;3222,756;0,000;38,503;38,503;0,000;0,000;1503,775;1102,224;401,552;0,000;4765,034
HC.5.1.1 Verschriebene Arzneimittel;3222,756;0,000;3222,756;3222,756;0,000;10,281;10,281;0,000;0,000;401,552;0,000;401,552;0,000;3634,589
HC.5.1.2 Rezeptfreie Arzneimittel;0,000;0,000;0,000;0,000;0,000;26,198;26,198;0,000;0,000;1023,195;1023,195;0,000;0,000;1049,394
HC.5.1.3 Sonstige medizinische Verbrauchsgüter;0,000;0,000;0,000;0,000;0,000;2,023;2,023;0,000;0,000;79,028;79,028;0,000;0,000;81,052
HC.5.2 Therapeutische Hilfsmittel und andere medizinische Güter;780,941;0,000;780,941;780,941;0,000;145,510;145,510;0,000;0,000;1044,629;1037,948;6,681;0,000;1971,080
HC.6.1 Information, Bildung und Beratung;100,854;17,405;83,449;83,449;0,000;19,516;0,000;19,516;0,000;0,000;0,000;0,000;0,000;120,370
HC.6.2 Immunisierungsprogramme;126,830;110,393;16,438;16,438;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;126,830
HC.6.4 Programme zur Überwachung des Gesundheitszustandes;333,084;237,918;95,166;95,166;0,000;89,505;3,832;0,000;85,673;117,606;117,606;0,000;0,000;540,195
HC.6.5 Epidemiologische Überwachung, Risiko- und Krankheitskontrollprogramme;51,201;51,201;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;51,201
HC.7.1 Verwaltung der Gesundheitsversorgung;69,504;69,504;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;69,504
HC.7.2 Verwaltung der Gesundheitssystemfinanzierung;798,234;34,264;763,970;763,970;0,000;719,961;719,961;0,000;0,000;0,000;0,000;0,000;0,000;1518,195
Alle HC - Alle Gesundheitsleistungen und -güter;29771,535;12070,128;17701,407;17701,407;0,000;2753,471;2040,271;627,527;85,673;7346,455;6637,121;709,334;0,000;39871,460
HC.1+HC.2 Leistungen der kurativen und rehabilitativen Gesundheitsversorgung;20225,065;7486,300;12738,765;12738,765;0,000;1407,268;1154,032;253,235;0,000;3160,577;2858,415;302,162;0,000;24792,910
HC.3 Langzeitpflege;4523,953;4511,997;11,956;11,956;0,000;129,443;0,000;129,443;0,000;1416,970;1416,970;0,000;0,000;6070,366
HC.4 Hilfsleistungen der Gesundheitsversorgung;827,535;130,548;696,987;696,987;0,000;301,034;17,906;283,128;0,000;115,750;108,729;7,021;0,000;1244,320
HC.5 Medizinische Güter;4127,257;0,000;4127,257;4127,257;0,000;203,738;203,738;0,000;0,000;2658,563;2238,653;419,910;0,000;6989,558
HC.6 Prävention;642,918;442,363;200,556;200,556;0,000;116,684;3,867;20,533;92,284;109,991;109,991;0,000;0,000;869,593
HC.7 Verwaltung der Gesundheitsversorgung und Gesundheitssystemfinanzierung;919,180;106,756;812,424;812,424;0,000;765,029;765,029;0,000;0,000;0,000;0,000;0,000;0,000;1684,209
Alle HC - Alle Gesundheitsleistungen und -güter;31265,908;12677,964;18587,944;18587,944;0,000;2923,195;2144,573;686,338;92,284;7461,851;6732,759;729,092;0,000;41650,955
HC.1 Leistungen der kurativen Gesundheitsversorgung;18490,589;7285,452;11205,137;11205,137;0,000;1133,477;1115,761;17,716;0,000;2459,740;2243,593;216,147;0,000;22083,807
HC.2 Leistungen der rehabilitativen Gesundheitsversorgung;1734,476;200,848;1533,628;1533,628;0,000;273,790;38,272;235,519;0,000;700,837;614,822;86,015;0,000;2709,103
HC.1.1+HC.2.1 Stationäre kurative und rehabilitative Gesundheitsversorgung;11765,880;5445,420;6320,461;6320,461;0,000;1156,182;955,546;200,636;0,000;544,653;458,638;86,015;0,000;13466,715
HC.1.1 Stationäre kurative Gesundheitsversorgung;10400,152;5362,922;5037,231;5037,231;0,000;926,842;918,323;8,519;0,000;266,327;266,327;0,000;0,000;11593,321
HC.2.1 Stationäre rehabilitative Gesundheitsversorgung;1365,728;82,498;1283,230;1283,230;0,000;229,340;37,223;192,117;0,000;278,326;192,311;86,015;0,000;1873,394
HC.1.2+HC.2.2 Tagesfälle der kurativen und rehabilitativen Gesundheitsversorgung;206,358;113,430;92,927;92,927;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;207,358
HC.1.2 Tagesfälle der kurativen Gesundheitsversorgung;206,358;113,430;92,927;92,927;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;207,358
HC.1.3+HC.2.3 Ambulante kurative und rehabilitative Gesundheitsversorgung;8225,994;1926,973;6299,021;6299,021;0,000;251,086;198,486;52,599;0,000;2614,924;2398,777;216,147;0,000;11092,004
HC.1.3 Ambulante kurative Gesundheitsversorgung;7857,247;1808,623;6048,623;6048,623;0,000;206,635;197,438;9,197;0,000;2192,413;1976,266;216,147;0,000;10256,295
HC.1.3.1 Allgemeine ambulante Gesundheitsversorgung;1562,910;137,320;1425,589;1425,589;0,000;68,182;68,182;0,000;0,000;273,124;222,042;51,082;0,000;1904,216
HC.1.3.2 Ambulante zahnärztliche Gesundheitsversorgung;1135,191;61,897;1073,293;1073,293;0,000;40,210;40,210;0,000;0,000;1221,499;1131,004;90,495;0,000;2396,899
HC.1.3.3 Spezialisierte ambulante Gesundheitsversorgung;4987,452;1556,558;3430,894;3430,894;0,000;89,045;89,045;0,000;0,000;491,984;419,069;72,914;0,000;5568,481
HC.1.3.9 Sonstige ambulante kurative Gesundheitsversorgung;171,695;52,848;118,847;118,847;0,000;9,197;0,000;9,197;0,000;205,807;204,151;1,656;0,000;386,699
HC.2.3 Ambulante rehabilitative Gesundheitsversorgung;368,748;118,350;250,398;250,398;0,000;44,450;1,049;43,402;0,000;422,511;422,511;0,000;0,000;835,709
HC.1.4+HC.2.4 Häusliche kurative und rehabilitative Gesundheitsversorgung;26,833;0,477;26,356;26,356;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;26,833
HC.1.4 Häusliche kurative Gesundheitsversorgung;26,833;0,477;26,356;26,356;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;26,833
HC.3.1 Stationäre Langzeitpflege;2108,157;2108,157;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1181,327;1181,327;0,000;0,000;3289,484
HC.3.2 Tagesfälle der Langzeitpflege;50,182;50,182;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;50,182
HC.3.4 Häusliche Langzeitpflege;2365,614;2353,658;11,956;11,956;0,000;129,443;0,000;129,443;0,000;235,643;235,643;0,000;0,000;2730,700
HC.4.1 Klinische Labore;200,641;0,073;200,569;200,569;0,000;8,501;8,501;0,000;0,000;34,632;34,632;0,000;0,000;243,774
HC.4.2 Bildgebende Diagnoseverfahren;221,998;0,086;221,912;221,912;0,000;9,405;9,405;0,000;0,000;38,318;38,318;0,000;0,000;269,722
HC.4.3 Patiententransporte;404,896;130,389;274,506;274,506;0,000;283,128;0,000;283,128;0,000;42,800;35,779;7,021;0,000;730,823
HC.5.1 Arzneimittel und sonstige medizinische Verbrauchsgüter;3298,223;0,000;3298,223;3298,223;0,000;40,665;40,665;0,000;0,000;1591,101;1178,115;412,986;0,000;4929,989
HC.5.1.1 Verschriebene Arzneimittel;3298,223;0,000;3298,223;3298,223;0,000;10,555;10,555;0,000;0,000;412,986;0,000;412,986;0,000;3721,764
HC.5.1.2 Rezeptfreie Arzneimittel;0,000;0,000;0,000;0,000;0,000;28,052;28,052;0,000;0,000;1097,594;1097,594;0,000;0,000;1125,646
HC.5.1.3 Sonstige medizinische Verbrauchsgüter;0,000;0,000;0,000;0,000;0,000;2,058;2,058;0,000;0,000;80,521;80,521;0,000;0,000;82,579
HC.5.2 Therapeutische Hilfsmittel und andere medizinische Güter;829,034;0,000;829,034;829,034;0,000;163,073;163,073;0,000;0,000;1067,462;1060,538;6,923;0,000;2059,569
HC.6.1 Information, Bildung und Beratung;100,163;17,574;82,589;82,589;0,000;20,533;0,000;20,533;0,000;0,000;0,000;0,000;0,000;120,695
HC.6.2 Immunisierungsprogramme;149,156;127,223;21,933;21,933;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;149,156
HC.6.4 Programme zur Überwachung des Gesundheitszustandes;345,853;249,819;96,034;96,034;0,000;96,151;3,867;0,000;92,284;109,991;109,991;0,000;0,000;551,995
HC.6.5 Epidemiologische Überwachung, Risiko- und Krankheitskontrollprogramme;47,747;47,747;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;47,747
HC.7.1 Verwaltung der Gesundheitsversorgung;70,413;70,413;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;70,413
HC.7.2 Verwaltung der Gesundheitssystemfinanzierung;848,766;36,342;812,424;812,424;0,000;765,029;765,029;0,000;0,000;0,000;0,000;0,000;0,000;1613,795
Alle HC - Alle Gesundheitsleistungen und -güter;31265,908;12677,964;18587,944;18587,944;0,000;2923,195;2144,573;686,338;92,284;7461,851;6732,759;729,092;0,000;41650,955
HC.1+HC.2 Leistungen der kurativen und rehabilitativen Gesundheitsversorgung;21071,971;8298,428;12773,543;12773,543;0,000;1397,425;1111,406;286,019;0,000;2812,171;2547,618;264,553;0,000;25281,567
HC.3 Langzeitpflege;4821,622;4811,549;10,072;10,072;0,000;144,417;0,000;144,417;0,000;1380,240;1380,240;0,000;0,000;6346,279
HC.4 Hilfsleistungen der Gesundheitsversorgung;848,775;178,461;670,313;670,313;0,000;315,305;18,230;297,076;0,000;111,138;105,294;5,844;0,000;1275,218
HC.5 Medizinische Güter;4349,252;50,038;4299,214;4299,214;0,000;199,489;199,489;0,000;0,000;2661,911;2238,957;422,954;0,000;7210,652
HC.6 Prävention;1131,466;923,975;207,491;207,491;0,000;111,669;4,022;20,649;86,998;134,422;134,422;0,000;0,000;1377,557
HC.7 Verwaltung der Gesundheitsversorgung und Gesundheitssystemfinanzierung;939,676;102,387;837,289;837,289;0,000;671,955;671,955;0,000;0,000;0,000;0,000;0,000;0,000;1611,631
Alle HC - Alle Gesundheitsleistungen und -güter;33162,761;14364,838;18797,923;18797,923;0,000;2840,261;2005,102;748,161;86,998;7099,882;6406,531;693,351;0,000;43102,903
HC.1 Leistungen der kurativen Gesundheitsversorgung;19415,937;8042,684;11373,254;11373,254;0,000;1129,928;1081,011;48,917;0,000;2196,223;1992,103;204,120;0,000;22742,088
HC.2 Leistungen der rehabilitativen Gesundheitsversorgung;1656,033;255,744;1400,290;1400,290;0,000;267,497;30,395;237,102;0,000;615,948;555,515;60,433;0,000;2539,478
HC.1.1+HC.2.1 Stationäre kurative und rehabilitative Gesundheitsversorgung;12428,170;6060,008;6368,162;6368,162;0,000;1127,435;904,931;222,504;0,000;483,750;423,317;60,433;0,000;14039,355
HC.1.1 Stationäre kurative Gesundheitsversorgung;11130,345;5925,959;5204,386;5204,386;0,000;899,855;875,654;24,201;0,000;248,570;248,570;0,000;0,000;12278,770
HC.2.1 Stationäre rehabilitative Gesundheitsversorgung;1297,825;134,049;1163,776;1163,776;0,000;227,580;29,277;198,303;0,000;235,180;174,748;60,433;0,000;1760,585
HC.1.2+HC.2.2 Tagesfälle der kurativen und rehabilitativen Gesundheitsversorgung;193,266;107,477;85,789;85,789;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;194,266
HC.1.2 Tagesfälle der kurativen Gesundheitsversorgung;193,266;107,477;85,789;85,789;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;194,266
HC.1.3+HC.2.3 Ambulante kurative und rehabilitative Gesundheitsversorgung;8423,438;2130,184;6293,255;6293,255;0,000;269,990;206,475;63,515;0,000;2327,421;2123,301;204,120;0,000;11020,849
HC.1.3 Ambulante kurative Gesundheitsversorgung;8065,230;2008,488;6056,742;6056,742;0,000;230,072;205,357;24,715;0,000;1946,654;1742,534;204,120;0,000;10241,956
HC.1.3.1 Allgemeine ambulante Gesundheitsversorgung;1562,291;144,206;1418,085;1418,085;0,000;71,861;71,861;0,000;0,000;252,775;202,433;50,342;0,000;1886,928
HC.1.3.2 Ambulante zahnärztliche Gesundheitsversorgung;1106,318;66,616;1039,702;1039,702;0,000;39,195;39,195;0,000;0,000;1024,590;942,190;82,400;0,000;2170,103
